iter	Passed	Remaining
0	10	10715
1	12	6418
2	15	4995
3	17	4410
4	20	4048
5	22	3691
6	25	3600
7	28	3473
8	30	3305
9	32	3205
10	54	4939
11	57	4751
12	60	4604
13	65	4607
14	68	4478
15	74	4572
16	83	4802
17	85	4675
18	88	4545
19	120	5897
20	124	5822
21	132	5870
22	136	5812
23	157	6385
24	159	6220
25	169	6366
26	174	6304
27	178	6184
28	183	6142
29	186	6031
30	189	5912
31	193	5866
32	196	5756
33	198	5632
34	225	6224
35	236	6327
36	241	6274
37	244	6184
38	247	6087
39	251	6024
40	253	5933
41	256	5852
42	261	5818
43	264	5738
44	266	5658
45	268	5577
46	271	5498
47	273	5427
48	277	5376
49	279	5305
50	280	5225
51	284	5181
52	287	5130
53	289	5079
54	293	5042
55	296	4990
56	298	4944
57	302	4910
58	307	4912
59	310	4870
60	313	4825
61	317	4796
62	322	4797
63	325	4764
64	328	4725
65	334	4733
66	337	4700
67	340	4672
68	344	4646
69	347	4618
70	350	4585
71	354	4569
72	358	4555
73	362	4537
74	365	4509
75	369	4490
76	372	4460
77	374	4432
78	378	4412
79	381	4383
80	383	4347
81	385	4318
82	388	4287
83	392	4276
84	394	4251
85	404	4297
86	408	4283
87	416	4315
88	419	4296
89	422	4272
90	425	4252
91	429	4238
92	434	4236
93	437	4216
94	440	4199
95	443	4173
96	445	4149
97	453	4176
98	457	4166
99	461	4154
100	466	4148
101	469	4135
102	472	4112
103	474	4086
104	477	4072
105	481	4064
106	485	4050
107	489	4040
108	491	4020
109	493	3994
110	497	3982
111	501	3973
112	503	3948
113	510	3970
114	514	3957
115	520	3963
116	527	3981
117	531	3976
118	535	3965
119	538	3950
120	543	3945
121	545	3929
122	550	3925
123	556	3929
124	560	3921
125	567	3938
126	571	3931
127	576	3928
128	584	3943
129	591	3959
130	611	4059
131	617	4058
132	631	4116
133	634	4101
134	638	4088
135	643	4089
136	655	4127
137	659	4122
138	673	4170
139	677	4164
140	680	4148
141	684	4137
142	687	4123
143	691	4110
144	695	4103
145	698	4086
146	700	4067
147	704	4053
148	708	4049
149	719	4078
150	724	4073
151	729	4072
152	736	4079
153	741	4074
154	761	4152
